year,city,country,avg_temp,10-Year MA
1945,Chengdu,China,11.26,
1946,Chengdu,China,12.02,
1947,Chengdu,China,11.29,
1948,Chengdu,China,11.07,
1949,Chengdu,China,10.91,
1950,Chengdu,China,10.7,
1951,Chengdu,China,10.95,
1952,Chengdu,China,11.07,
1953,Chengdu,China,11.22,
1954,Chengdu,China,10.69,
1955,Chengdu,China,10.66,
1956,Chengdu,China,10.5,
1957,Chengdu,China,10.45,
1958,Chengdu,China,11,
1959,Chengdu,China,10.89,
1960,Chengdu,China,10.93,
1961,Chengdu,China,10.87,
1962,Chengdu,China,10.67,
1963,Chengdu,China,10.87,
1964,Chengdu,China,10.85,
1965,Chengdu,China,10.62,
1966,Chengdu,China,11.08,
1967,Chengdu,China,10.5,
1968,Chengdu,China,10.45,
1969,Chengdu,China,11.15,
1970,Chengdu,China,10.67,
1971,Chengdu,China,10.83,
1972,Chengdu,China,10.97,
1973,Chengdu,China,11.21,
1974,Chengdu,China,10.7,
1975,Chengdu,China,10.93,
1976,Chengdu,China,10.23,
1977,Chengdu,China,10.63,
1978,Chengdu,China,10.98,
1979,Chengdu,China,11.08,
1980,Chengdu,China,10.8,
1981,Chengdu,China,10.85,
1982,Chengdu,China,10.45,
1983,Chengdu,China,10.6,
1984,Chengdu,China,10.6,
1985,Chengdu,China,10.6,
1986,Chengdu,China,10.57,
1987,Chengdu,China,11.34,
1988,Chengdu,China,10.88,
1989,Chengdu,China,10.62,
1990,Chengdu,China,11.34,
1991,Chengdu,China,10.72,
1992,Chengdu,China,10.22,
1993,Chengdu,China,10.59,
1994,Chengdu,China,11.16,
1995,Chengdu,China,10.81,
1996,Chengdu,China,10.55,
1997,Chengdu,China,10.76,
1998,Chengdu,China,11.7,
1999,Chengdu,China,11.32,
2000,Chengdu,China,10.82,
2001,Chengdu,China,11.26,
2002,Chengdu,China,11.38,
2003,Chengdu,China,11.35,
2004,Chengdu,China,10.97,
2005,Chengdu,China,11.09,
2006,Chengdu,China,11.84,
2007,Chengdu,China,11.66,
2008,Chengdu,China,11.13,
2009,Chengdu,China,11.62,
2010,Chengdu,China,11.37,
2011,Chengdu,China,11.07,
2012,Chengdu,China,11.16,
2013,Chengdu,China,13.35,
